Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.726545689044454,0.10557929066604,0.118024962861993,0.10893654018088,14.5873374246253,3.09452414131416,3.42883744567406,2.99887893535357,50.9005802259358,1.87585335351155,3.90291941488117,1.65301575694063,13.2114890844516,1.16098993858418,0.874240403649009,1.04186736361711
Normal_0to6h_18to24h,0.105082123823548,0.105497196260986,0.105173871284361,0.108707540070369,10.2949123764466,2.86301982047348,3.02982564686178,2.74608090060199,40.7612049316934,1.48429361978959,4.03749615937113,1.49091868065621,1.05108823741911,1.11332389731554,0.912375338968234,0.929640875163604
Leak_12to18h,1.24379088343272,0.105056060493009,0.139441796431016,0.108762589794794,20.506805238024,3.48671020187901,4.07781887793244,3.41869344258834,66.164220102948,2.46389877508612,3.56287231533761,1.92157759238624,22.7288319365399,1.25813751492239,0.790051802468117,1.23327007915414
