Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.843441159776091,0.107974421993648,0.114310815931446,0.108231853420764,15.3552672462319,2.72287551506859,3.02899996628999,2.4495819079582,57.9284822875369,2.3366744199746,5.35608509323072,1.6560422028189,12.5054010701196,1.04306577557182,2.25960810720939,1.18075879396813
Normal_0to6h_18to24h,0.102307886010596,0.102589053455067,0.102304680310067,0.105927331405948,10.0816857444351,2.29701327756256,2.23089186339846,2.16550158555614,40.7753399285031,1.71751897650368,2.88500131568922,1.66661657009105,0.898900971888933,0.964043996740213,0.794286748287914,0.821016393325685
Leak_12to18h,1.44702613540716,0.118364444822188,0.135293787440087,0.113210769226652,22.3098078206176,3.4256012697882,4.18575030555343,2.94293503153594,81.5410389628682,3.25714105577083,8.30020533792532,1.69771758403584,21.5220645141087,1.17909953188923,3.73016509817215,1.67218774518349
