Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.875581013616505,0.102518677990711,0.106833616601492,0.108287647093823,14.6661291306847,2.96725755577158,3.2486163149699,2.73775956315716,48.9814572462153,1.81845414110205,5.23361987536498,1.67589707232681,3.92347450361423,1.05807859440467,0.827753623901622,0.872247622640771
Normal_0to6h_18to24h,0.103374615706598,0.103572223469546,0.103353024462465,0.107213463005827,10.3522432859397,2.67944800341145,2.92931354192127,2.57213300069385,41.0682147794187,1.69930649342359,4.87754941151865,1.55424849971246,0.891990701330386,0.98619788544104,0.827897783183179,0.838509007828458
Leak_12to18h,1.50252384801446,0.100507759058263,0.113495855319755,0.110501384960944,20.6157889936273,3.448520988436,3.77387626002607,3.01373408272301,61.3001546359675,2.01325841795693,5.81640633467829,1.87524004580285,6.64576902546733,1.1806599890779,0.816785863567693,0.925615083383999
