Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.225466247149724,0.0708314192921853,0.0602484208388438,0.0655429868969905,5.47530037047067,3.56710927393853,2.96464210915431,3.09550820767707,12.9537675086051,1.23618976975483,1.15775915718428,1.13439902098174,5.7961881016196,3.82554462746651,2.00887493316033,2.4599584000335
Normal_0to6h_18to24h,0.0560014196336804,0.0608192739636731,0.0553376198026881,0.062084417617208,3.9598789567649,3.03045411846908,2.52120527087769,2.67996373351823,10.6845448754283,1.1609868890492,1.19394649949309,1.18276026125538,1.50983109492071,3.30494914376686,1.50404056992636,2.16659043947404
Leak_12to18h,0.380730621843971,0.0878028579154366,0.0692876308911424,0.0722046375568221,7.6156848813378,4.46407290261584,3.69655953312266,3.80120213849323,16.4474421914168,1.3864793924021,1.10762899337292,1.0595995037051,9.76545182249627,4.73323937243326,2.74581385337756,2.97748273383604
