Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.0944161823112432,0.0716987470783788,0.0583059637087907,0.060164366608917,4.77744372074081,3.3158382157618,2.62800922247632,2.63345250570844,11.7640159594945,1.30766210062794,1.32950042578142,1.26571731300551,5.88319667294854,3.74980304016033,1.61750528831004,1.45237092225988
Normal_0to6h_18to24h,0.0549827599038718,0.0593184004836328,0.0548695877136166,0.0582678046918842,4.09852061283526,2.97018639722019,2.51128873759321,2.53930254996479,11.7856398337312,1.18750556114703,1.32507303001363,1.23441794641514,1.42646167020905,3.11565613472756,1.37102494701631,1.28241027034788
Leak_12to18h,0.143127268804373,0.091166554189372,0.0641848014320818,0.063306535997029,5.85498805913471,3.91058194029451,2.81967931659055,2.78365486194945,11.5558896270633,1.50541004773791,1.32324995062974,1.31266375266129,9.94753042444845,4.81899908184142,2.03633856978427,1.75720182720644
