Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.125738688559818,0.0687932032450797,0.0565877682272435,0.0559859874747327,4.75033052964899,3.26854237965498,2.56717393548209,2.5422534182446,10.4191024224997,1.30105705482935,1.2220321612426,1.19008908632244,4.04484585491426,3.78422826047299,1.34816899249762,1.0884366982375
Normal_0to6h_18to24h,0.0513564518029755,0.0566838758863344,0.0514860097817131,0.0512406263701827,3.53726393869978,2.89168193110997,2.41256702172773,2.40250454067727,9.47828762552147,1.27191556465749,1.3733366381899,1.32055816027546,1.34120706594573,3.22934346858454,1.19621234962041,1.05623382819124
Leak_12to18h,0.204354791790243,0.0878506625620212,0.0652776138992344,0.0641158018287456,6.50317350303843,3.93606984107821,2.86165711064793,2.81079415830388,11.9598405107456,1.3558025342633,0.849213926633646,0.879648121542037,6.71947035176516,4.75124338929284,1.62491778477585,1.1671385696639
