Case,Standard,Chen,EKF_LE,AFEKF
Case1_Clean_Pipe1,1.18973530832116,1.18973530832114,1.1889808126904,1.19405916079095
Case2_20dB_Pipe1,524.011139749068,2.63512690283053,2.22928921060842,1.17839980361045
Case1_Clean_Pipe2,1.15672176461188,1.15672176461188,1.15587606453566,1.16222057654819
Case2_20dB_Pipe2,93.4019046595229,1.91743048226305,1.352621829291,1.21720729539821
Case1_Clean_Pipe3,1.53731952103312,1.53731952103313,1.53594377054035,1.54287547697785
Case2_20dB_Pipe3,108.250671003396,2.12621995154474,1.67160993525116,1.66528263855118
Case1_Clean_Pipe4,0.624633593664925,0.624633593664926,0.622227929191783,0.629534571956538
Case2_20dB_Pipe4,86.7482167730326,0.739992375405097,0.75198578924675,0.648996070103631
Case1_Clean_Pipe5,0.460942048148673,0.460942048148674,0.463380024929047,0.469292362065208
Case2_20dB_Pipe5,34.7709475175413,0.468391266769993,0.525200400557003,0.467254645711308
Case1_Clean_Pipe7,0.586872754568239,0.586872754568233,0.594520125318557,0.601212340145249
Case2_20dB_Pipe7,100.272709524281,0.816524400215816,0.713540235806938,0.635901785184225
Case1_Clean_Pipe8,0.358667201418215,0.358667201418216,0.428228586867664,0.433507806700741
Case2_20dB_Pipe8,12.7777544925798,0.315020354774352,0.856343651125064,0.514594332640334
Case1_Clean_Pipe10,0.722923161560532,0.722923161560525,0.720527056483119,0.723185755259343
Case2_20dB_Pipe10,31.4488362516823,0.814433282422367,0.79344895979234,0.786241261899154
Case3_Outlier_Leak_Pipe1,478.668321797147,1.79746351357616,2.01935709556039,1.24036231287498
Case3_Outlier_Leak_Pipe5,77.1131341047216,2.2320274341319,0.937721692784911,0.872709641087549
