Case,Standard,Chen,EKF_LE,AFEKF
Case1_Clean_Pipe1,1.1507648984249,1.15076489842491,1.15006609830863,1.15698030683563
Case2_20dB_Pipe1,453.79732356299,1.80583378815687,2.25394853425528,1.19526048162796
Case1_Clean_Pipe2,1.17486419885919,1.17486419885919,1.17381343044431,1.18288404987344
Case2_20dB_Pipe2,60.9561918730932,1.55232619468733,1.33894116107374,1.24275715006987
Case1_Clean_Pipe3,1.32610135325467,1.32610135325467,1.32428816443745,1.33216606480363
Case2_20dB_Pipe3,93.6230183820727,1.7016372295029,1.61144031401128,1.48284760771051
Case1_Clean_Pipe4,0.631799773113204,0.631799773113204,0.650164480505607,0.657006742888931
Case2_20dB_Pipe4,117.501323710466,0.703310997330904,0.612620817726783,0.638785518190375
Case1_Clean_Pipe5,0.420837014663426,0.420837014663423,0.424804240360758,0.431757663390168
Case2_20dB_Pipe5,12.988106908868,0.443895584448772,0.426871045896441,0.445862299889942
Case1_Clean_Pipe7,0.614692255028416,0.614692255028416,0.621681547083585,0.629155589530095
Case2_20dB_Pipe7,105.951314971248,0.814908658052838,0.66530362998206,0.645951700410235
Case1_Clean_Pipe8,0.339149592236314,0.339149592236313,0.394689754135083,0.399516010865912
Case2_20dB_Pipe8,9.67168345259033,0.334409726018364,0.43935093105695,0.391776972094076
Case1_Clean_Pipe10,0.711071107448185,0.711071107448189,0.715875738993725,0.719326219731734
Case2_20dB_Pipe10,35.4789439148026,0.787077753016174,0.779286898872179,0.749254791640513
Case3_Outlier_Leak_Pipe1,338.499702418844,1.95316007318247,2.10478561904228,1.31217376283111
Case3_Outlier_Leak_Pipe5,28.0336551895088,2.33633335686232,0.905537505720827,0.840633503969881
