Case,Standard,Chen,EKF_LE,AFEKF
Case1_Clean_Pipe1,1.06747335083147,1.06747335083147,1.07075720905491,1.07516801502801
Case2_20dB_Pipe1,352.405217805981,2.8893701382614,2.1285062152065,1.08215484203776
Case1_Clean_Pipe2,1.03002551970457,1.03002551970458,1.06425801819629,1.07697302055526
Case2_20dB_Pipe2,79.7016169853493,1.81649822356594,1.32299180004593,1.14233335812514
Case1_Clean_Pipe3,1.19560935308986,1.19560935308987,1.1984197464941,1.20477414379466
Case2_20dB_Pipe3,114.185568420473,3.27944707897234,1.42818767428362,1.27869487949427
Case1_Clean_Pipe4,0.68809032262043,0.68809032262043,0.687320906569977,0.694581010738088
Case2_20dB_Pipe4,74.2435209712549,0.703276479654112,0.735789829088497,0.703524297448403
Case1_Clean_Pipe5,0.461449975128551,0.461449975128551,0.477438873046616,0.483318304467234
Case2_20dB_Pipe5,34.2278102758469,0.474239346930933,0.597080749797842,0.526338297326722
Case1_Clean_Pipe7,0.519420601675874,0.519420601675875,0.524343695321481,0.530306597360568
Case2_20dB_Pipe7,46.789797976518,0.563403917218624,0.55550891164823,0.542588806333281
Case1_Clean_Pipe8,0.393375136637712,0.393375136637712,0.43058615324702,0.435520491672989
Case2_20dB_Pipe8,20.2046541653933,0.38774246825974,0.41610083526621,0.495057975771931
Case1_Clean_Pipe10,0.700516498936851,0.70051649893686,0.706294552229629,0.709236946609656
Case2_20dB_Pipe10,25.9908325307998,0.766215039214041,0.763489397993783,0.732478429033659
Case3_Outlier_Leak_Pipe1,439.066463946947,2.57391177398693,2.14605101154384,1.28126707220753
Case3_Outlier_Leak_Pipe5,11.3346844819365,2.35449990250111,1.10957202129943,1.05372419387032
