Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,10.1468791371511,0.0646510577016803,0.0562173568712787,0.0540671298434548,117.35328420652,2.47091647726553,2.0351913759712,1.95591594714924,427.455943982603,1.94512698914403,2.26851351354772,1.01808412550041,52.8308188896384,2.25937984675937,0.811634452181417,0.781815842722605
Normal_0to6h_18to24h,0.0509555503694166,0.0509593694567926,0.0509269609336528,0.0514525427455301,88.0604230084938,1.75833092693338,1.81126210131411,1.74940453428846,318.030756423072,1.34938888238929,2.14851275640315,0.979888990272916,6.77914995866878,0.469212596772691,0.477662067175314,0.475369691887632
Leak_12to18h,21.4246923225957,0.0989836447616204,0.0730750052357831,0.0636591642932647,195.278757288042,4.04755647656572,2.65454360595126,2.50853620924297,714.975160150404,3.34195962518929,2.99322487358347,1.25915277610203,110.931184734318,4.69528593564608,1.46380757516573,1.40034760963058
