Case,Standard,Chen,EKF_LE,AFEKF
Case1_Clean_Pipe1,1.83132702637164,1.83132702637164,1.83148278028623,1.83502020306667
Case2_20dB_Pipe1,494.040459652811,22.5856309650282,5.76367798401751,1.7621272434783
Case1_Clean_Pipe2,1.79012162723798,1.79012162723798,1.7904324168002,1.79445185188009
Case2_20dB_Pipe2,55.3310561433027,7.31631479206622,1.94158929017921,1.75416794018777
Case1_Clean_Pipe3,1.99384567496192,1.99384567496193,1.99346999475934,1.99841642375345
Case2_20dB_Pipe3,80.7812305137084,10.7156129678378,2.31766896773097,2.03374764308873
Case1_Clean_Pipe4,0.767946900947454,0.767946900947455,0.770346809225592,0.773158266525539
Case2_20dB_Pipe4,27.0222151405416,2.50315592112558,0.780755874082428,0.76166638943185
Case1_Clean_Pipe5,0.735467381688375,0.735467381688375,0.733039657114002,0.741723550656719
Case2_20dB_Pipe5,45.7105810115055,0.895466801935984,0.727064035428088,0.714924213529787
Case1_Clean_Pipe7,0.864206864081794,0.864206864081794,0.865053323636277,0.873914229065511
Case2_20dB_Pipe7,38.3378910476259,4.37034084190647,0.932943568748351,0.893245927399064
Case1_Clean_Pipe8,0.585958027890292,0.585958027890291,0.587181298444446,0.593148639836629
Case2_20dB_Pipe8,60.0363980922114,0.734690041834254,0.571254124863894,0.582004275947113
Case1_Clean_Pipe10,0.942305737136917,0.942305737136918,0.955527092205891,0.961735932351172
Case2_20dB_Pipe10,91.6101207481549,1.66530656967299,1.06787778845674,1.02813177989942
Case3_Outlier_Leak_Pipe1,713.148528341658,28.7208220323355,5.78796406860594,1.60463218085425
Case3_Outlier_Leak_Pipe5,38.7916095699705,1.8873570020175,0.785989340332217,0.768479075283624
