Case,Standard,Chen,EKF_LE,AFEKF
Case1_Clean_Pipe1,1.44229453773312,1.44229453773312,1.46184882322703,1.46418630732771
Case2_20dB_Pipe1,623.364069612862,27.5696070392841,6.13552219723495,1.35905812289363
Case1_Clean_Pipe2,1.52638576605453,1.52638576605453,1.52176362085061,1.52550043704122
Case2_20dB_Pipe2,40.164576543651,4.44721730394575,1.63240783774506,1.48889402877826
Case1_Clean_Pipe3,1.60076898845405,1.60076898845405,1.60146333920611,1.60494389038936
Case2_20dB_Pipe3,110.727878033944,17.0983923806764,2.3628587780725,1.59488025471307
Case1_Clean_Pipe4,0.870038898900351,0.870038898900351,0.871373289441586,0.875610075861128
Case2_20dB_Pipe4,10.9671151257621,1.80006956915453,0.884331173884252,0.857915003742546
Case1_Clean_Pipe5,0.722757307417907,0.722757307417907,0.731506302841337,0.737999355353443
Case2_20dB_Pipe5,3.54847324591597,0.758135003637161,0.769550139150229,0.739031420052171
Case1_Clean_Pipe7,0.685243744187083,0.685243744187087,0.700970764941411,0.703901610760262
Case2_20dB_Pipe7,78.9517668427645,2.25742807932651,0.787314216953537,0.686545187968336
Case1_Clean_Pipe8,0.637277985842888,0.637277985842888,0.651995646082568,0.659801510394838
Case2_20dB_Pipe8,59.9133389691358,1.10255568637679,0.665142711653862,0.664880898143033
Case1_Clean_Pipe10,0.992759719528493,0.99275971952849,0.99352587401323,0.999855727096262
Case2_20dB_Pipe10,100.68064753498,2.26277421212992,1.0397728499869,1.01522660442571
Case3_Outlier_Leak_Pipe1,538.702273020112,14.8557436352813,5.64560934253494,1.96061727234749
Case3_Outlier_Leak_Pipe5,98.3880664248815,1.98655057878615,0.874730236696336,0.885548082183454
