Case,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF,Flow_Standard,Flow_Chen,Flow_EKF_LE,Flow_AFEKF
Case1_Clean,1.54389294836962,1.54389131423607,1.5443482953906,1.55080057438233,0.809430794669752,0.80941183985024,0.80946467525443,0.814467955707289,2.56895138215376,2.56894818310604,2.5689210661639,2.5725906356287
Case2_10dB,15.0288788796619,1.61492881669111,1.80622268047011,1.58376915474138,3.57803084422736,0.834009434030822,0.887906072824199,0.83452132106497,5.235920788396,2.68290800740721,2.71033131083893,2.68788902626954
Case2_20dB,47.4593803724855,1.92694502727605,4.26667702015845,1.5835399916519,1.46710562981916,0.834358949138934,1.2697463790867,0.838189026158999,12.391088427234,2.7033145773084,3.03334059947306,2.68797402241592
