Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.107030676437918,0.107226526549051,0.106696872127454,0.110998703884081,2.57128849455527,2.68922994496785,2.7151342705699,2.72171432528155,1.72263515357853,1.7210871148126,1.71749177425521,1.71787890032297,0.941574032879312,1.05777992690936,1.2940108093514,1.1587196038937
Normal_0to12h,0.106958067782078,0.107372774347547,0.106750248375881,0.110780375872438,2.53190893933191,2.68701487702501,2.5338985407694,2.53266596365235,1.9787317259365,1.97582761470253,1.97602260974643,1.97761879593581,0.905426590657513,1.06262822318307,0.860399528711302,0.8550853407207
Leak_12to24h,0.107588931158885,0.107972969126623,0.10830045292616,0.114246345234266,2.54033162041743,2.77077051437719,2.81694810354298,2.83294725998467,1.42937746406814,1.42569785554014,1.4167207502436,1.41555554894625,1.08984031850322,1.28300064749949,1.65390773831069,1.44419347964687
