Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.101875553950507,0.102212329314719,0.101913822457897,0.105233497694985,2.74441661304834,2.85942591685825,2.79058135062241,2.74709465764922,1.89397621611652,1.89465490404647,1.89996550741696,1.90720028413578,0.775511228292096,0.91639581885489,1.11335024780116,0.95014878377666
Normal_0to12h,0.105307276321206,0.105665768807112,0.105089616864448,0.108862313629803,2.95024176036759,3.09706039745981,2.94987253229701,2.95073849731029,2.30209917088906,2.302988270315,2.30200628923981,2.3090216817257,0.829822241754105,1.02084889642374,0.826566487400978,0.79686640437732
Leak_12to24h,0.100174856293082,0.100849352404889,0.100710600841577,0.105659812147103,2.64925703658988,2.8792204973509,2.74747660701034,2.6578191868257,1.77391530033155,1.77534651181188,1.78660520885649,1.79959202707746,0.890745703396051,1.1241181788737,1.45434063992774,1.21124418543125
