Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.102114359875883,0.102651013701648,0.102710481819253,0.105949498619047,2.68413339729507,2.80783795823652,2.8656214654591,2.80328879780943,1.55268200841018,1.55041175656397,1.55433972522826,1.55820053842374,0.920073513369814,1.07295166350966,1.62371397219536,0.954291918278478
Normal_0to12h,0.102065912286941,0.102903907905341,0.101812014917778,0.105656295388554,3.04699155321155,3.20268570095081,3.0463074954058,3.04802347733043,1.66799798555953,1.66448270259521,1.6673301629133,1.67168037311784,1.00509498663788,1.20425421473436,0.968213640458398,0.934499162563794
Leak_12to24h,0.103791592255261,0.104830655356822,0.105192153365495,0.109917870952744,2.8774251542396,3.10157083872998,3.20416541639508,3.09321113276975,1.38678719451957,1.38177010468461,1.3898777809117,1.39725343489369,1.10380200394262,1.34886210387917,2.1803092357731,1.1607509951568
