Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.873388531464632,0.0736306139898506,0.0627504197840343,0.0631808841427423,12.0966625536811,3.11613670286862,2.4547082945898,2.49715994700128,32.6658087702599,1.30411400289962,1.81149694134833,1.19586332670989,2.40265336216196,3.8324233949236,1.81871058926495,2.22611468451824
Normal_0to6h_18to24h,0.0597872415531958,0.0647186434774757,0.059669916018578,0.0595935503237403,8.7662674006285,2.69882343048741,2.17308145710468,2.12553371245025,29.6240981602508,1.15120695122381,1.59428127685133,1.14715635814721,1.34416168107994,3.23311904723909,1.3116105109594,1.29629499492348
Leak_12to18h,1.50336858026882,0.0883867861039396,0.0679305381077579,0.0692294978239067,16.7713436485789,3.81664528175034,2.91774898383802,3.08933849932061,37.6353942838356,1.5777609314184,2.17769492150435,1.30160034286981,3.69799418348814,4.8574274607656,2.55125793253827,3.38867402956935
