Case,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Case1_Clean,1.3770652690566,1.09152576277642,1.08409066617831,1.08617793773732,0.653083405094911,0.421982368459549,0.421820784593869,0.428793923820945
Case2_10dB,16.6979089650703,1.15536552588778,1.10366816927706,1.1186383797383,3.36654008707928,0.421358960444796,0.475307803876069,0.60899879544027
Case2_20dB,59.8605344339532,1.52634020614703,1.35228265934802,1.11523934539531,3.84454987988157,0.42975937537687,0.528698639177463,0.640149932590929
Case3_Outlier_Leak,14.1114288867588,1.47700355161948,1.45361708100247,1.42835346635206,3.09529615891651,3.68778515423133,1.78277535728228,1.68879779206425
Case4_Pure_Leak,1.61855270622007,1.2997899308577,1.35221841588235,1.302997154422,0.787633471939486,3.54680289843602,1.93722705151602,1.72744816046439
