Case,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Case1_Clean,1.59502213186978,1.15614503062521,1.16303529886125,1.16708173038483,0.673120733539209,0.439037304886103,0.439305789742134,0.445722455902743
Case2_10dB,15.4922296082519,1.14777890103801,1.11802937076161,1.04187749076384,1.18304392438708,0.433984603995864,0.442121464518746,0.446400618885968
Case2_20dB,50.5389422269018,1.64278492856691,1.39117541574746,1.03988443861937,2.30252094636137,0.451000003323575,0.424357762899608,0.452626233366448
Case3_Outlier_Leak,16.502595169183,1.27251960058892,1.27516426090048,1.20522231105547,3.47514974197446,3.69843787640398,1.59528307255301,1.32717330507182
Case4_Pure_Leak,2.20033656787537,1.53157255283529,1.67325660463688,1.54668539341046,0.94028936170202,3.50769170345487,1.76629240791267,2.00192382222709
