Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.103468270094304,0.104968930083674,0.103534594735023,0.0848933557433162,2.6297424347606,3.33401993658887,2.70738935917057,2.61096043609863,1.61093759287693,1.60602755636884,1.60936986636589,1.48108551625669,0.802053497540238,3.76647110539183,1.2484805724403,1.06185649789002
Normal_0to12h,0.10295175055147,0.10362196618362,0.102924010531197,0.0821530956659419,2.43531323467518,3.23869821918777,2.43578703089859,2.40249109916427,1.80507321541603,1.80243327709317,1.80498537321596,1.59138512087301,0.706905725053809,3.89161127158086,0.706926085657506,0.932300238682383
Leak_12to24h,0.102771882118686,0.105862166689864,0.103175049441426,0.0612742635271783,2.8853450616121,4.07927112056316,3.02510771747896,2.85237960353635,1.79633273817038,1.79338973730274,1.79973274935688,1.55760536357647,0.742079036779461,5.22258797505467,1.55596583314511,1.25475134735059
