Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.102355853978705,0.103725184086099,0.102518002818194,0.0898673616714101,2.77367319542877,3.42682328623077,2.90795545445695,2.89721054686982,1.75558643255758,1.77275180277959,1.76331896787606,1.57022509996919,0.834501091125806,3.79988014687223,1.75277923538824,1.91186996284642
Normal_0to12h,0.102621699023056,0.104180202131723,0.102765148225826,0.0839908567265322,2.43899506680335,3.28372197198092,2.43812111644705,2.55137242518522,1.60450997429677,1.62197530593029,1.60147532625055,1.45599518455889,0.783184290040103,4.15457518087027,0.783233757665079,1.78919644838777
Leak_12to24h,0.103167778586581,0.105841232100013,0.103369930573244,0.074214827241143,2.99279075809618,4.11838785139317,3.23731673360195,3.21513664517521,1.7415851587369,1.77549103800559,1.75976848499903,1.34533101317823,0.896620025555309,5.28300309679428,2.34395778454503,2.57969593584951
