Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.648192643280796,0.127887843655416,0.105304825516458,0.0851970071298781,13.4574242776451,3.64791327556363,2.69309674390183,2.48201633000302,52.409345749386,4.8021284687012,3.50417136637743,1.74050453701681,2.95037473772394,4.0009041572465,1.06987371054717,0.866273596728436
Normal_0to6h_18to24h,0.105281566419995,0.107446785156883,0.105029655857654,0.0864075387138063,11.099247961947,3.16424649681463,2.70947977026787,2.58713606000138,44.570127808088,1.92649664175199,3.62924126915551,1.68072151363722,0.975672018665546,3.47412693839993,0.973383689695016,0.984066400439364
Leak_12to18h,1.10763054288573,0.160543042472253,0.10543859478859,0.0817889776763533,17.0871599789021,4.45388787632044,2.63773522883903,2.23639475063202,64.7374882464327,7.81879573257562,3.18894517921184,1.8351582961028,4.89726628995489,4.93258301611913,1.23369561769488,0.547823150361618
