Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.821662276793083,0.129531914905812,0.107748010648574,0.080528069199776,13.7207937729844,3.87948231621277,3.09335057909394,2.64697690937179,54.3974142444018,5.79991232960945,4.60333361994894,1.76078273657937,1.0005436086224,4.07000095595633,1.26088174550112,1.06001649609703
Normal_0to6h_18to24h,0.105036296783615,0.10554138227841,0.104887555921567,0.0844040408996088,11.0161201687099,3.1355841645223,2.71315264623553,2.55945310701623,44.0414955166219,1.9287205787371,3.56369633564356,1.73059573466385,0.904377945189939,3.31191153829087,0.904791747919057,0.990245297284185
Leak_12to18h,1.40886670528677,0.167160287467048,0.113319036180296,0.0715156898643818,17.8022732664605,5.04246919347047,3.71461185063867,2.79296492619833,70.1125452691248,9.62191439251133,6.1334240189083,1.80427747156868,1.15758259714979,5.31449367717996,1.7574032724892,1.17460247136307
