Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.131825466507551,0.127448545990947,0.104307945586108,0.0830608072373834,13.0358897990959,3.60978593604751,2.60483623603422,2.52199166619624,51.9481337086567,4.05189739223822,3.20866196860968,1.2710880000178,6.08425282189835,4.02461080066908,0.757757913583297,0.991066838885829
Normal_0to6h_18to24h,0.102340115953692,0.103925981848757,0.101557872231412,0.0823440705863173,10.9794925242802,3.18724581942354,2.72457584656175,2.62365923751784,43.9588823087096,1.37981041467435,3.18732971012641,1.20103129141227,0.802798918733065,3.45136320703743,0.797931952800958,0.853503761911314
Leak_12to18h,0.175725230171887,0.164217013623427,0.109015036693141,0.0838931724721968,16.2593868624389,4.36459393434865,2.38866384538788,2.34725518693352,64.4678043266499,6.70764989122521,3.20662869744383,1.38554991683272,10.4279929660246,5.01890077265976,0.66437378318337,1.21031398008709
