Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.0573910778470378,0.0636592736374075,0.0597574858658709,0.0582246388330481,2.59743901564588,3.15458586230609,2.7989383340012,2.68733309304901,1.13601891691384,1.12326977096192,1.13140080019208,1.13446189844285,1.61720533188295,3.513327926308,2.45550473642202,1.96061801771593
Normal_0to12h,0.0564918640484049,0.0631897884305543,0.0562779760080959,0.0560375553281696,2.46587360644117,3.15582607952219,2.46165419729214,2.45015702814992,0.982573261037274,0.964296132991463,0.982130187908001,0.981409541372761,1.53141153792343,3.82128500992397,1.59474464157596,1.56899193707342
Leak_12to24h,0.0621004756903033,0.0731663798405523,0.0663525215509515,0.0633898702794319,2.35434280216095,3.44452432630029,2.77391267036256,2.5448001625148,0.786110628233632,0.749126374274639,0.771882267638445,0.77295663372685,2.22471499552664,4.91316052539908,3.42288930385548,2.72069191576827
