Case,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF,Flow_Standard,Flow_Chen,Flow_EKF_LE,Flow_AFEKF
Case1_Clean,1.47715528930851,1.3213241314643,1.18025486620507,1.31672527021651,0.779557498772904,0.735512395195476,0.562603230193518,0.744410761524271,2.44839111712083,2.38283416099374,2.30813483949871,2.38743546890442
Case2_10dB,16.5174135149731,2.25968890226886,1.10816115598663,1.20100549987996,0.850051590295491,0.790073471706583,0.588310951784178,0.791670229825676,4.92161585789797,2.52179271505447,2.33906857715204,2.41656249497254
Case2_20dB,50.2160491947033,6.74194799681285,1.66964721915814,1.20095317346665,2.28127868734034,0.794889996555395,0.59513812698592,0.791675843558866,12.8975276457518,3.67298955378721,2.38670157623795,2.41664943280208
