Case,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Case1_Clean,2.06382965567822,2.06368564720563,2.06246317683971,2.02604411985518,0.809139420380061,0.809831533183223,0.805670974564055,0.795421204720671
Case2_10dB,16.69101473695,2.56017132279695,2.43120731609802,2.24516698896086,0.813020027731259,0.820448162777746,0.812768253343972,0.789099521034598
Case2_20dB,54.0857629156604,5.70843390417336,3.36178674381297,2.21925928295136,6.44323299247818,0.81134826695063,1.33128359814053,0.75571557642313
Case3_Outlier_Leak,52.8676964569524,5.70297692039643,2.8713372527717,1.2688641944368,0.99783290847758,3.90861095773026,1.36531343153633,0.99017150164748
Case4_Pure_Leak,1.42421365163382,1.42610084372438,1.42408773577313,1.41436681471199,0.746643247304914,3.69579430520117,0.755138342490957,0.763145931838939
