Case,Standard,Chen,EKF_LE,AFEKF
Case1_Clean_Pipe1,1.70940302304542,1.70954453500131,1.70912170649405,1.68691626591252
Case2_20dB_Pipe1,560.19564364059,55.7864774623853,1.82803274153305,1.74598234260418
Case1_Clean_Pipe2,1.83324415680814,1.83300681972097,1.83344889732151,1.81534728140712
Case2_20dB_Pipe2,73.4072357429478,12.1638536924254,1.88041325798113,1.86193621726685
Case1_Clean_Pipe3,2.02999321194575,2.03030961681326,2.02995646994288,2.01308093837126
Case2_20dB_Pipe3,87.7466846536637,24.0730930666215,2.10350131726018,2.09287857096392
Case1_Clean_Pipe4,0.990233306391435,0.990240019847829,0.990251191511188,0.986669196238229
Case2_20dB_Pipe4,36.5671123009337,3.44303368763318,1.03215886273202,1.02918198654543
Case1_Clean_Pipe5,0.795781427060275,0.797281992408345,0.795770944709826,0.788434633106715
Case2_20dB_Pipe5,43.8144750470477,2.49673721797797,0.829857753358083,0.824667225347592
Case1_Clean_Pipe7,0.738671255664913,0.734374384357209,0.739729758312947,0.731918662149838
Case2_20dB_Pipe7,20.761878549908,4.93399644399397,0.700650235934858,0.698073368873051
Case1_Clean_Pipe8,0.699942214608411,0.696325657311527,0.699883289931383,0.691448825237902
Case2_20dB_Pipe8,28.116332471707,1.67246382130335,0.7236998295871,0.715524441063664
Case1_Clean_Pipe10,1.07418368173911,1.07415718351598,1.0729704271651,1.0646434200318
Case2_20dB_Pipe10,30.3220380813917,7.05156132012896,1.08716140397932,1.08213732812112
Case3_Outlier_Leak_Pipe1,572.877286262596,93.3163812244839,1.92338374043127,1.73003818381853
Case3_Outlier_Leak_Pipe5,1.59785526318921,5.16301158909019,0.782542993336229,0.80424817277067
