Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.196301805565699,0.0748308996744221,0.0573894276537676,0.0595422587377751,5.00256585630436,3.45565965604735,2.6358495882273,2.64488721410612,16.4974642569048,2.32635466716513,1.32330388449014,1.26829155871186,2.47660592276377,3.73360850071012,1.08637913274905,1.20111462139291
Normal_0to6h_18to24h,0.104424640598668,0.0618952320390789,0.0535272806641559,0.0583852283251155,4.12600540636017,2.85701843023511,2.255294674647,2.29783389410888,13.6631561165553,1.32477455642484,1.25818462058322,1.15815359421785,0.940604502950882,3.25065065167342,1.04714930745992,1.29857169955089
Leak_12to18h,0.304751337022102,0.0951674899919083,0.0638623727167066,0.0611450855360451,6.36686003958366,4.43263902458077,3.27012519222537,3.23523187185629,20.8748115194859,3.5644888544741,1.46148284003269,1.48538042378949,4.06264602067074,4.60393793102407,1.18539081221117,1.02364279814923
