Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,7.98691584134902,0.350939857947834,0.104312752672344,0.0785099620625811,137.82152375265,20.0761258340468,2.99538350905005,2.91834714825207,558.714174822193,54.609349771167,1.61516760068061,1.36265203877266,6.61072124315115,3.15452009240952,0.768994509884031,0.764338779305026
Normal_0to6h_18to24h,0.106032929426142,0.105923777709412,0.105890657922451,0.0835344719672599,114.152770130202,2.49437503657767,2.4577306549005,2.38552291468968,467.623787537688,3.48237964313008,1.57857746270981,1.34411599592617,0.830554665122829,0.681760048069049,0.690903550794499,0.605317928401025
Leak_12to18h,16.863032679817,0.714506936269966,0.0983699968449392,0.068494388856042,213.488524907773,42.0125065928554,2.61832106876468,2.58462390654339,857.730862716887,115.145185233609,1.50326915863977,1.39140345411693,13.8717316493479,6.54664815567575,0.932656142355088,1.12761003100314
