Period,P_RMSE_Standard,P_RMSE_Chen,P_RMSE_EKF_LE,P_RMSE_AFEKF,M_RMSE_Standard,M_RMSE_Chen,M_RMSE_EKF_LE,M_RMSE_AFEKF,Pipe1_Standard,Pipe1_Chen,Pipe1_EKF_LE,Pipe1_AFEKF,Pipe5_Standard,Pipe5_Chen,Pipe5_EKF_LE,Pipe5_AFEKF
Full_Period,0.69746067955783,0.0679361601197232,0.0582451718241072,0.0578882850612517,5.21923893040575,2.98992515919438,2.24951550342562,2.221312268305,16.962784220654,1.02906719582562,1.0867913041918,1.10456777867211,1.30175106644183,3.76364178727156,1.72642149768756,1.49393806479143
Normal_0to6h_18to24h,0.107612824236533,0.0618261689322767,0.0580390200025272,0.0582511213598303,4.01709956627179,2.75937281314657,2.2575541116001,2.25028008742115,13.5233877552105,1.01715511112174,1.04877822758245,1.02932346292566,0.833967562709322,3.17508452775835,1.45887876131893,1.35065343959542
Leak_12to18h,1.1929201218622,0.0785014514685232,0.058335051873709,0.0568767744168581,6.98248228324825,3.40794555181732,2.21719873709733,2.14567091048183,22.1235863019513,1.0456002985578,1.14874966297684,1.23205542057677,1.90944588980759,4.75736888462764,2.16166907404099,1.74200084890541
